model,1pct,2pct,5pct,10pct,20pct,50pct,avg
TimeChannel,0.608,0.658,0.730,0.769,0.789,0.797,0.725
HARNet,0.564,0.636,0.713,0.762,0.798,0.818,0.715
MTL,0.559,0.631,0.716,0.764,0.800,0.813,0.714
TimeMask,0.544,0.630,0.695,0.735,0.754,0.771,0.688
Supervised,0.517,0.582,0.641,0.706,0.720,0.736,0.650
SimCLR,0.508,0.575,0.644,0.684,0.726,0.742,0.646
CPC,0.490,0.566,0.644,0.697,0.716,0.728,0.640
MoCo,0.454,0.531,0.624,0.673,0.707,0.725,0.619
IMU-MAE,0.471,0.522,0.605,0.654,0.693,0.725,0.612
SelfPAB,0.483,0.542,0.610,0.663,0.675,0.685,0.610
MOMENT,0.513,0.557,0.605,0.624,0.637,0.648,0.597
PatchTST,0.344,0.423,0.516,0.592,0.623,0.654,0.525
LIMU-BERT,0.377,0.440,0.514,0.541,0.572,0.586,0.505
