model,forthtrace,harth,imwsha,paal,pamap2,realworld,selfback,ucaehar,uschad,ward,dsads,mex,mhealth,realdisp,lara,openpack,exoskeletons,vtt_coniot,avg
MTL,0.565,0.828,0.760,0.853,0.824,0.822,0.845,0.824,0.731,0.933,0.878,0.942,0.940,0.970,0.662,0.836,0.985,0.664,0.826
HARNet,0.616,0.745,0.773,0.859,0.850,0.806,0.841,0.803,0.702,0.913,0.880,0.927,0.918,0.970,0.662,0.825,0.976,0.687,0.819
TimeChannel,0.491,0.729,0.742,0.720,0.803,0.758,0.825,0.785,0.695,0.932,0.858,0.870,0.942,0.984,0.690,0.815,0.971,0.629,0.791
TimeMask,0.582,0.756,0.712,0.774,0.749,0.725,0.834,0.772,0.615,0.941,0.794,0.870,0.928,0.977,0.620,0.760,0.970,0.580,0.776
Supervised,0.452,0.738,0.725,0.793,0.761,0.757,0.815,0.699,0.657,0.874,0.759,0.793,0.939,0.973,0.610,0.748,0.956,0.538,0.755
SimCLR,0.476,0.724,0.720,0.719,0.730,0.794,0.825,0.699,0.637,0.896,0.769,0.828,0.877,0.968,0.641,0.767,0.930,0.498,0.750
CPC,0.476,0.647,0.755,0.730,0.704,0.740,0.838,0.678,0.645,0.877,0.797,0.802,0.858,0.936,0.627,0.750,0.900,0.532,0.738
MoCo,0.464,0.678,0.672,0.721,0.674,0.787,0.806,0.728,0.667,0.858,0.718,0.839,0.836,0.961,0.651,0.739,0.947,0.520,0.737
IMU-MAE,0.521,0.595,0.654,0.630,0.791,0.809,0.791,0.699,0.618,0.897,0.792,0.835,0.778,0.955,0.567,0.738,0.935,0.631,0.735
SelfPAB,0.396,0.632,0.672,0.614,0.732,0.756,0.828,0.609,0.498,0.867,0.705,0.870,0.807,0.892,0.516,0.602,0.931,0.525,0.692
PatchTST,0.567,0.472,0.446,0.539,0.746,0.848,0.766,0.703,0.553,0.891,0.744,0.782,0.870,0.834,0.422,0.650,0.957,0.513,0.684
MOMENT,0.557,0.346,0.475,0.426,0.730,0.864,0.705,0.542,0.440,0.906,0.829,0.698,0.817,0.918,0.409,0.558,0.974,0.502,0.650
LIMU-BERT,0.325,0.612,0.581,0.667,0.515,0.543,0.754,0.657,0.513,0.636,0.660,0.413,0.850,0.683,0.480,0.542,0.880,0.402,0.595
