model,overall_avg,daily,exercise,industry,domain_avg
MTL,0.826,0.799,0.932,0.787,0.839
HARNet,0.819,0.791,0.923,0.787,0.834
TimeChannel,0.791,0.748,0.914,0.776,0.813
TimeMask,0.776,0.746,0.893,0.732,0.790
Supervised,0.755,0.727,0.866,0.713,0.769
SimCLR,0.750,0.722,0.861,0.709,0.764
CPC,0.738,0.709,0.848,0.702,0.753
MoCo,0.737,0.706,0.838,0.714,0.753
IMU-MAE,0.735,0.700,0.840,0.718,0.753
SelfPAB,0.692,0.660,0.818,0.644,0.708
PatchTST,0.684,0.653,0.808,0.636,0.699
MOMENT,0.650,0.599,0.815,0.611,0.675
LIMU-BERT,0.595,0.580,0.651,0.576,0.603
