model,arm,leg,front,ankle,wrist,phone,back,head,avg
MTL,0.709,0.771,0.702,0.770,0.732,0.788,0.728,0.743,0.743
HARNet,0.705,0.767,0.682,0.743,0.731,0.780,0.706,0.720,0.729
TimeChannel,0.675,0.745,0.642,0.701,0.695,0.718,0.694,0.709,0.697
TimeMask,0.634,0.706,0.592,0.681,0.674,0.726,0.649,0.673,0.667
Supervised,0.592,0.692,0.573,0.632,0.637,0.679,0.586,0.676,0.633
MoCo,0.577,0.670,0.559,0.627,0.615,0.694,0.594,0.658,0.624
IMU-MAE,0.582,0.650,0.604,0.681,0.622,0.633,0.556,0.616,0.618
CPC,0.538,0.651,0.550,0.612,0.607,0.687,0.540,0.653,0.605
SimCLR,0.539,0.659,0.540,0.604,0.618,0.651,0.548,0.641,0.600
SelfPAB,0.501,0.630,0.549,0.625,0.577,0.556,0.534,0.551,0.565
PatchTST,0.509,0.585,0.536,0.647,0.559,0.533,0.431,0.636,0.554
LIMU-BERT,0.461,0.619,0.483,0.603,0.505,0.590,0.473,0.622,0.545
MOMENT,0.408,0.503,0.483,0.595,0.467,0.433,0.353,0.552,0.474
